Date,Location,Province,TotalKilledMin,TotalKilledMax,CiviliansKilledMin,CiviliansKilledMax,SourceConfirmed
2013-01-21,Nakhla,Marib,2,4,0,0,"TBIJ (Confirmed, Possible)"
2013-01-22,Al Boka,Jawf,3,5,0,0,"TBIJ (Confirmed, Possible)"
2013-01-23,Khawlan,Sanaa,4,4,2,2,"TBIJ (Confirmed, Possible)"
2013-01-23,Qayfa,Bayda,3,5,0,0,"TBIJ (Confirmed, Possible)"
2013-04-17,Wassab al Ali,Damar,4,4,0,4,"TBIJ (Confirmed, Possible)"
2013-04-21,Wadi Abida,Marib,2,2,0,0,"TBIJ (Confirmed, Possible)"
2013-05-18,Mahfed,Abyan,4,9,0,0,"TBIJ (Confirmed, Possible)"
2013-05-20,Radaa,Bayda,2,2,0,0,"TBIJ (Confirmed, Possible)"
2013-06-01,Mahfed,Abyan,7,8,0,0,"TBIJ (Confirmed, Possible)"
2013-06-09,"Al Makashma/
Khab al Shath",Jawf,2,7,1,1,"TBIJ (Confirmed, Possible)"
2013-07-27,Mahfed,Abyan,4,9,0,0,"TBIJ (Confirmed, Possible)"
2013-07-30,Al Saeed,Shabwa,3,4,0,0,"TBIJ (Confirmed, Possible)"
2013-08-01,Wadi Ser,Hadhramout,3,5,4,5,"TBIJ (Confirmed, Possible)"
2013-08-06,Wadi Abida,Marib,4,4,0,0,"TBIJ (Confirmed, Possible)"
2013-08-07,Markha,Shabwa,6,8,0,0,"TBIJ (Confirmed, Possible)"
2013-08-08,Wadi Abida,Marib,3,8,2,2,"TBIJ (Confirmed, Possible)"
2013-08-08,Al Ayoun,Hadhramout,2,7,0,0,"TBIJ (Confirmed, Possible)"
2013-08-08,Al Qotn,Hadhramout,3,5,0,0,"TBIJ (Confirmed, Possible)"
2013-08-10,Al Askariya,Lahj,2,5,0,0,"TBIJ (Confirmed, Possible)"
2013-08-30,Manaseh,Bayda,4,6,0,0,"TBIJ (Confirmed, Possible)"
2013-11-19,Ghayl Bawazir,Hadhramout,5,5,0,0,"TBIJ (Confirmed, Possible)"
2013-11-26,Mahfed,Abyan,12,12,0,0,"TBIJ (Confirmed, Possible)"
2013-12-09,Al Qotn,Hadhramout,3,3,0,0,"TBIJ (Confirmed, Possible)"
2013-12-12,Radaa,Bayda,12,17,8,16,"TBIJ (Confirmed, Possible)"
2013-12-27,Shibam,Hadhramout,1,6,0,0,"TBIJ (Confirmed, Possible)"
2013-12-31,Mahfed,Abyan,2,6,0,0,"TBIJ (Confirmed, Possible)"
2014-01-06,Radaa,Bayda,0,0,0,0,"TBIJ (Confirmed, Possible)"
2014-01-08,Al Qotn,Hadhramout,2,2,0,0,"TBIJ (Confirmed, Possible)"
2014-01-15,Shibam,Hadhramout,1,1,1,1,"TBIJ (Confirmed, Possible)"
2014-01-24,Wadi Abida,Marib,3,4,0,0,"TBIJ (Confirmed, Possible)"
2014-02-03,Mahfed,Abyan,0,4,0,0,"TBIJ (Confirmed, Possible)"
2014-03-02,Shabwan,Marib,2,3,0,0,"TBIJ (Confirmed, Possible)"
